time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
21:04.8,0,0,0,85,143,0,55,0,35,52,0,40,0,21,0,0,0,0,0,58,0,56,15,22,36,27,146,100,94,45,0
21:04.9,0,0,0,84,143,0,55,0,36,51,0,40,0,21,0,0,0,0,0,59,0,56,15,22,36,27,146,100,94,45,0
21:05.1,0,0,0,85,143,0,55,0,36,51,0,40,0,20,0,0,0,0,0,59,0,56,15,22,36,27,148,100,95,45,0
21:05.2,0,0,0,85,143,0,56,0,35,52,0,40,0,21,0,0,0,0,0,59,0,56,15,23,36,27,147,100,95,46,0
21:05.3,0,0,0,85,142,0,56,0,36,51,0,40,0,21,0,0,0,0,0,59,0,56,15,22,36,27,147,100,95,46,0
21:05.4,0,0,0,86,142,0,56,0,35,51,0,40,0,21,0,0,0,0,0,59,0,56,15,23,36,27,147,99,96,46,0
21:05.5,0,0,0,86,142,0,56,0,36,52,0,40,0,21,0,0,0,0,0,59,0,56,15,23,36,27,147,98,97,47,0
21:05.6,0,0,0,86,143,0,56,0,36,52,0,40,0,21,0,0,0,0,0,59,0,56,15,23,36,27,148,99,97,47,0
21:05.7,0,0,0,86,143,0,57,0,36,51,0,40,0,22,0,0,0,0,0,60,0,57,15,23,36,27,147,98,97,47,0
21:05.8,0,0,0,87,142,0,58,0,36,52,0,40,0,22,0,0,0,0,0,60,0,56,15,23,36,27,148,97,98,47,0
21:05.9,0,0,0,88,143,0,58,0,36,52,0,40,0,22,0,0,0,0,0,60,0,57,15,23,36,27,148,97,98,47,0
21:06.1,0,0,0,88,143,0,59,0,35,52,0,40,0,22,0,0,0,0,0,59,0,56,15,23,36,27,147,96,99,47,0
21:06.2,0,0,0,88,142,0,60,0,36,52,0,40,0,22,0,0,0,0,0,60,0,57,15,23,35,27,146,95,98,47,0
21:06.3,0,0,0,87,141,0,59,0,35,51,0,40,0,22,0,0,0,0,0,60,0,56,15,22,35,27,145,94,98,47,0
21:06.4,0,0,0,87,141,0,60,0,35,51,0,40,0,22,0,0,0,0,0,60,0,56,15,22,35,27,144,93,97,47,0
21:06.5,0,0,0,88,141,0,60,0,34,51,0,39,0,22,0,0,0,0,0,59,0,56,15,23,35,27,144,93,97,48,0
21:06.6,0,0,0,88,140,0,60,0,36,50,0,39,0,22,0,0,0,0,0,59,0,56,15,23,35,27,144,94,97,48,0
21:06.7,0,0,0,87,139,0,59,0,34,50,0,39,0,23,0,0,0,0,0,60,0,56,15,23,36,26,146,94,98,48,0
21:06.9,0,0,0,88,138,0,60,0,34,49,0,39,0,22,0,0,0,0,0,60,0,56,15,23,36,26,147,92,96,47,0
21:07.0,0,0,0,86,137,0,60,0,36,50,0,39,0,22,0,0,0,0,0,60,0,56,15,23,36,26,148,91,95,46,0
21:07.1,0,0,0,87,137,0,60,0,35,49,0,39,0,22,0,0,0,0,0,61,0,57,16,23,36,26,148,91,94,46,0
21:07.2,0,0,0,86,135,0,60,0,35,49,0,38,0,22,0,0,0,0,0,61,0,56,16,23,36,26,147,89,94,46,0
21:07.3,0,0,0,86,136,0,63,0,35,49,0,39,0,22,0,0,0,0,0,61,0,57,16,23,36,26,148,88,94,46,0
21:07.4,0,0,0,86,136,0,63,0,35,49,0,39,0,22,0,0,0,0,0,61,0,57,16,23,36,26,147,86,95,46,0
21:07.5,0,0,0,86,136,0,62,0,34,49,0,38,0,22,0,0,0,0,0,61,0,57,16,23,36,26,147,87,95,46,0
21:07.7,0,0,0,86,137,0,63,0,34,50,0,39,0,22,0,0,0,0,0,62,0,57,16,23,36,26,148,87,96,47,0
21:07.8,0,0,0,87,138,0,63,0,35,50,0,39,0,22,0,0,0,0,0,62,0,57,16,23,36,26,148,87,97,46,0
21:07.9,0,0,0,87,137,0,64,0,35,49,0,39,0,22,0,0,0,0,0,62,0,57,16,23,36,26,147,87,96,47,0
21:08.0,0,0,0,87,137,0,64,0,34,50,0,39,0,22,0,0,0,0,0,62,0,57,16,23,35,26,147,87,97,47,0
21:08.1,0,0,0,88,138,0,64,0,35,50,0,39,0,22,0,0,0,0,0,62,0,58,16,23,36,26,146,87,97,47,0
21:08.2,0,0,0,88,138,0,64,0,35,49,0,39,0,22,0,0,0,0,0,62,0,58,16,23,36,26,146,87,98,47,0
21:08.3,0,0,0,88,138,0,64,0,35,49,0,39,0,22,0,0,0,0,0,63,0,58,16,23,36,26,146,87,98,47,0
21:08.5,0,0,0,88,138,0,64,0,35,50,0,39,0,22,0,0,0,0,0,63,0,58,16,23,35,26,146,87,99,47,0
21:08.6,0,0,0,88,138,0,64,0,35,50,0,39,0,22,0,0,0,0,0,63,0,58,16,23,36,26,146,86,99,47,0
21:08.7,0,0,0,88,138,0,65,0,35,49,0,39,0,22,0,0,0,0,0,63,0,58,16,23,35,26,146,86,99,47,0
21:08.8,0,0,0,89,139,0,65,0,35,50,0,39,0,22,0,0,0,0,0,63,0,58,16,24,35,26,146,86,100,47,0
21:08.9,0,0,0,89,138,0,66,0,35,49,0,39,0,23,0,0,0,0,0,63,0,58,15,23,36,26,146,86,100,47,0
